Seq_Number,ROA_0,ROE_0,ROS_0,L1_0,L2_0,L3_0,DOA_0,DOKP_0,DOKZ_0,DOZ_0,CZ_0,ZVI_0,FP_0,NI_0,KCZ_0,FKCZ_0,KSA_0,ZVB_0,MT_0,MPH_0,ROA_1,ROE_1,ROS_1,L1_1,L2_1,L3_1,DOA_1,DOKP_1,DOKZ_1,DOZ_1,CZ_1,ZVI_1,FP_1,NI_1,KCZ_1,FKCZ_1,KSA_1,ZVB_1,MT_1,MPH_1,ROA_2,ROE_2,ROS_2,L1_2,L2_2,L3_2,DOA_2,DOKP_2,DOKZ_2,DOZ_2,CZ_2,ZVI_2,FP_2,NI_2,KCZ_2,FKCZ_2,KSA_2,ZVB_2,MT_2,MPH_2,YEAR,IS_BANKRUPT
0,1.4,3.36,6.51,0.03,0.19,0.99,1693.47,60.05,214.55,304.62,0.49,1.18,2.4,18.72,58.38,16.86,0.87,29.01,80.58,288.92,-4.89,-16.27,-23.23,0.0,0.3,0.88,1729.28,159.34,233.38,310.95,0.49,1.65,3.33,9.92,69.95,3.04,0.64,29.68,70.38,199.97,-4.54,-15.09,-15.56,0.01,0.13,0.89,1250.08,37.37,142.26,233.7,0.48,1.59,3.32,11.21,69.89,8.25,0.67,28.46,53.95,165.39,13,1
1,-10.2,-1554.84,-34.94,0.05,0.18,0.48,1246.95,94.55,486.57,219.42,0.8,122.71,152.45,0.39,99.34,-1.08,0.2,22.25,36.29,-1949.14,0.37,33.57,0.73,0.0,0.15,0.52,718.4,60.21,357.63,152.26,0.8,73.01,90.93,13.13,98.9,14.69,0.22,9.47,25.19,113.69,6.72,85.67,10.98,0.12,0.22,0.63,595.84,34.76,319.83,142.6,0.82,10.39,12.74,18.95,92.15,21.25,0.27,4.58,19.96,75.25,13,1
2,-28.39,55.31,-44.27,0.02,0.06,0.58,567.58,27.39,604.53,318.2,1.42,-2.76,-1.95,10.17,151.33,-1.33,-0.55,25.49,60.12,2279.06,-15.29,22.14,-18.08,0.01,0.05,0.58,430.51,18.77,446.57,241.89,1.45,-2.1,-1.45,21.74,169.06,7.13,-0.86,9.15,43.79,-1106.55,7.81,1981.63,10.24,0.06,0.84,1.27,478.61,41.39,305.63,132.87,0.87,219.9,253.76,28.64,99.61,21.41,1.14,2.31,27.31,171.05,13,1
3,-1.58,1.76,,0.06,0.29,0.29,,,,,1.87,-2.08,-1.11,-1.58,189.76,0.14,-0.48,0.0,,0.0,-5.86,4.3,,0.08,0.08,0.08,,,,,2.32,-1.71,-0.73,-5.86,236.26,-1.36,-0.56,0.15,,0.0,-2.37,1.47,,0.0,0.0,0.0,,,,,2.56,-1.6,-0.62,-2.37,260.49,0.27,-0.74,0.25,,,13,1
4,-16.81,44.66,-69.45,0.07,1.23,1.71,1504.12,678.72,417.29,282.01,1.38,-3.66,-2.66,-13.81,137.63,-7.47,1.84,11.1,12.38,-71.32,0.77,-1.69,3.41,0.0,0.31,0.49,1611.08,686.65,2050.5,409.49,1.46,-3.19,-2.19,4.17,145.61,6.73,-1.28,11.29,15.04,-57.43,-40.25,20.68,-45.5,0.13,0.16,0.22,412.57,34.17,1195.72,79.72,2.95,-1.51,-0.51,-34.35,294.65,2.12,-5.65,0.0,6.67,-15.11,13,1
5,-33.71,155.72,,0.01,0.51,0.46,,,,,1.22,-5.62,-4.62,-33.71,121.65,-27.71,0.46,54.71,,,0.0,0.0,,0.01,0.51,0.46,,,,,1.22,-5.62,-4.62,0.0,121.65,0.0,0.46,54.71,,,0.0,0.0,,0.01,0.51,0.46,,,,,1.22,-5.62,-4.62,0.0,121.65,0.0,0.46,54.71,,,13,1
6,-4.99,-93.61,-30.95,0.0,0.22,0.58,2260.14,154.53,546.08,266.9,0.78,14.7,18.78,1.51,94.67,5.13,0.63,7.93,40.3,1251.67,-3.4,-148.03,-19.67,0.01,0.22,0.6,2109.44,136.15,487.61,258.14,0.74,32.4,43.49,3.16,97.7,7.07,0.55,8.17,37.91,1214.01,-3.29,-147.66,-17.79,,0.25,0.51,1969.64,194.32,557.24,205.48,0.75,33.54,44.92,2.92,97.77,4.67,0.46,11.61,33.59,288.62,14,1
7,-17.57,-41.53,-23.59,0.29,0.47,0.81,488.55,28.6,157.06,54.87,0.58,1.36,2.36,4.39,57.68,-18.2,0.92,17.78,29.49,144.14,-19.34,-37.91,-27.79,-0.44,0.13,0.44,524.63,62.81,110.48,34.52,0.49,0.96,1.96,0.99,49.0,-26.99,0.87,17.32,29.22,206.89,-15.86,-48.23,-24.31,,0.1,0.36,558.01,19.86,243.05,68.21,0.67,2.04,3.04,8.43,67.12,-18.63,0.62,14.61,37.24,136.27,14,1
8,0.01,0.02,0.09,0.0,0.09,0.67,2352.85,43.94,249.48,281.83,0.43,0.75,1.75,4.47,42.77,32.75,0.92,29.09,28.82,19.88,0.01,0.03,0.1,0.0,0.0,0.82,2513.35,2.61,355.06,485.12,0.52,1.07,2.07,3.37,51.62,23.19,0.95,35.82,23.08,19.39,-4.49,-11.69,-42.35,,0.0,0.44,3429.37,1.93,652.61,453.1,0.62,1.6,2.6,-2.5,61.56,12.48,0.8,41.62,18.76,-43.9,14,1
9,-18.97,16.05,,0.0,0.19,0.19,,,,,2.18,-1.85,-0.85,-18.97,218.14,-4.66,-0.85,51.24,,0.0,-186.9,35.58,,0.0,0.19,0.19,,,,,6.25,-1.19,-0.19,-186.9,625.32,-0.07,-16.41,146.76,,0.0,-12.26,2.07,,,0.17,0.17,,,,,6.93,-1.17,-0.17,-12.26,693.24,-1.46,-18.51,162.31,,,14,1
