Seq_Number,ROA_0,ROE_0,ROS_0,L1_0,L2_0,L3_0,DOA_0,DOKP_0,DOKZ_0,DOZ_0,CZ_0,ZVI_0,FP_0,NI_0,KCZ_0,FKCZ_0,KSA_0,ZVB_0,MT_0,MPH_0,ROA_1,ROE_1,ROS_1,L1_1,L2_1,L3_1,DOA_1,DOKP_1,DOKZ_1,DOZ_1,CZ_1,ZVI_1,FP_1,NI_1,KCZ_1,FKCZ_1,KSA_1,ZVB_1,MT_1,MPH_1,ROA_2,ROE_2,ROS_2,L1_2,L2_2,L3_2,DOA_2,DOKP_2,DOKZ_2,DOZ_2,CZ_2,ZVI_2,FP_2,NI_2,KCZ_2,FKCZ_2,KSA_2,ZVB_2,MT_2,MPH_2,IS_BANKRUPT,TYPE,RUN
0,1.89,10.57,5.19,0.6,0.6,0.6,435.66,4.89,628.98,,0.65,3.63,5.58,2.37,82.08,3.44,0.29,0.0,1.31,15.02,23.31,49.86,28.3,0.27,0.28,0.49,442.06,3.12,184.33,39.13,0.53,1.14,2.14,37.13,53.26,48.82,0.59,0.0,12.12,21.5,19.75,37.0,16.13,0.02,0.12,0.38,297.28,9.71,101.75,26.42,0.47,0.87,1.87,32.36,46.63,46.98,0.62,0.0,7.16,22.9,0,TRAIN,3.0
1,-0.64,-1.08,-1.46,0.22,0.25,1.48,825.5,4.69,153.43,230.29,0.23,0.38,1.67,1.17,40.11,46.33,0.9,3.7,4.12,-173.47,0.32,0.65,1.17,0.17,0.24,1.14,1331.6,33.64,483.43,455.06,0.38,0.78,2.02,2.37,38.33,22.14,0.88,1.52,5.58,-61.39,0.62,1.41,1.59,0.21,0.32,1.1,940.74,35.62,265.73,246.25,0.39,0.9,2.28,2.56,39.41,18.98,0.7,5.4,3.99,-128.04,0,TRAIN,3.0
2,-0.26,-676.05,-1.03,0.04,1.81,2.0,1430.27,1156.25,653.45,129.32,1.0,2579.79,2580.79,1.32,99.96,1.11,7.26,0.0,6.22,55.93,1.68,94.09,3.24,0.01,1.75,1.8,702.88,667.93,383.51,20.95,0.98,55.13,56.13,2.93,98.22,2.06,97.34,0.0,2.42,81.83,3.11,62.06,15.22,0.05,1.45,1.45,1784.44,1699.93,1219.51,0.06,0.95,18.99,19.99,3.64,95.0,3.34,616.93,0.0,2.63,15.59,0,TRAIN,3.0
3,-0.63,-75.07,-0.99,-0.57,-0.31,0.58,571.75,81.33,307.71,273.03,0.99,117.59,118.59,5.04,99.16,17.06,0.66,0.0,8.92,-89.47,0.78,50.51,1.08,-0.36,0.08,0.75,502.72,132.33,301.65,203.56,0.98,63.87,64.87,6.35,98.46,20.45,0.72,0.0,7.7,-155.81,0.97,38.02,1.5,-0.39,0.13,0.82,563.86,176.11,337.16,232.71,0.97,38.27,39.27,6.52,97.45,20.12,0.78,0.0,8.59,375.22,0,TRAIN,3.0
4,6.34,7.08,13.76,4.56,6.86,9.75,789.66,63.27,27.5,80.69,0.08,0.08,1.12,23.37,10.49,187.41,1.37,0.0,36.95,59.56,5.51,6.39,9.66,6.75,7.9,9.92,637.8,32.77,28.53,57.69,0.07,0.08,1.16,28.64,7.12,209.58,1.6,0.0,26.23,48.32,12.29,14.26,16.55,3.84,4.59,5.73,490.0,22.31,29.44,33.37,0.09,0.1,1.16,37.01,8.89,249.23,1.35,0.0,23.79,41.01,0,TRAIN,3.0
5,-0.02,-0.37,,0.14,10.42,10.42,,,,,0.01,0.14,19.58,-0.02,94.89,-2.68,0.06,0.0,,0.0,-3.11,-10.14,,0.6,6.09,6.09,2194.16,80.27,52.32,0.04,0.69,2.27,3.27,0.7,69.39,0.94,1.14,0.0,16.46,30.55,0.07,0.34,,3.12,64.22,64.22,2784.03,73.02,25.17,0.02,0.8,3.89,4.89,3.97,79.51,1.56,2.4,36.31,21.38,40.27,0,TRAIN,3.0
6,0.22,0.86,0.94,0.16,2.6,4.82,1537.14,241.67,99.05,222.68,0.74,2.83,3.83,9.98,73.9,13.02,1.36,6.12,41.18,-26.61,2.33,6.99,10.12,0.06,0.94,1.34,1578.28,221.93,252.23,102.6,0.67,2.0,3.0,6.5,66.63,16.78,1.07,3.6,18.07,-7.97,1.92,6.75,11.23,0.1,0.33,0.6,2127.81,282.05,723.91,325.2,0.72,2.52,3.52,5.41,71.55,10.26,0.64,23.35,20.38,-11.59,0,TRAIN,3.0
7,1.47,5.15,2.54,0.01,0.63,1.32,626.06,132.54,23.01,146.86,0.7,2.43,3.49,18.3,71.39,8.65,1.18,61.1,28.94,117.37,0.39,1.52,0.71,0.01,0.24,1.05,660.17,59.08,78.5,206.0,0.73,2.84,3.89,18.89,73.07,5.81,1.02,56.76,22.32,72.93,0.04,0.17,0.08,0.01,0.22,0.92,624.87,52.06,46.12,173.6,0.72,2.69,3.73,16.7,72.14,5.2,0.93,60.3,20.92,104.85,0,TRAIN,3.0
8,26.26,60.84,14.62,0.93,1.83,1.83,202.68,69.06,106.63,0.01,0.57,1.32,2.32,40.96,56.83,47.42,17.95,0.0,8.18,34.5,3.55,7.38,,0.2,1.85,1.89,261.43,162.2,129.82,4.82,0.52,1.08,2.08,21.82,51.94,10.25,9.88,0.0,9.17,46.65,0.76,1.8,,0.0,1.55,1.6,408.98,342.93,200.07,11.51,0.58,1.38,2.38,17.9,57.97,4.29,4.34,6.75,13.29,64.06,0,TRAIN,3.0
9,-9.0,-513.33,-14.12,0.06,0.67,2.19,571.02,79.89,130.02,199.97,0.98,56.03,57.03,-9.0,98.25,-9.16,0.04,0.0,0.0,0.0,0.35,4.14,2.54,0.02,0.17,0.95,2647.56,345.15,2209.16,1712.89,91.57,1086.46,11.86,0.66,91.57,0.56,0.42,0.0,1.62,-59.98,0.19,4.26,0.15,0.56,1.61,1.84,289.58,97.96,92.95,20.62,70.8,1558.7,22.02,8.48,70.8,2.1,0.11,0.0,4.87,3493.19,0,TRAIN,3.0
